TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,93,170,170,11406,4054.427,767.5249,1895.907,297.0999,1218.51,348.5402,1,2,2,22514,267.5315,237.1338,17.62021,6.279995,239.8144,230.8125,0,0,0,0,0,0,0,0,0,0,6,16,16,402493,3457.259,3382.265,37.1001,15.67999,3359.763,3331.396
150,20,KMeans,145,290,290,25747,6372.225,1226.407,3017.382,568.4409,1888.256,548.1398,4,15,15,1769,210.7041,74.62094,69.32082,19.97998,100.9016,54.40048,0,0,0,0,0,0,0,0,0,0,1,3,3,425,508.7989,13.86013,10.32005,5.979995,488.4301,7.879993
200,20,KMeans,200,450,450,28555,8889.011,2067.275,4190.26,883.7003,2676.803,958.0405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,234,538,538,38682,10699.13,2361.057,5259.255,1029.881,3073.667,1118.6,7,103,103,405534,1226.918,997.9587,167.3225,44.01997,988.66,943.3724,0,0,0,0,0,0,0,0,0,0,9,133,133,1640507,4185.233,4005.271,143.4417,56.02003,3951.313,3916.078
300,20,KMeans,300,684,684,46844,13729.93,3020.18,6789.522,1371.761,3906.573,1367.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,25,KMeans,97,162,162,11145,4113.61,804.3444,1847.786,327.04,1285.071,366.6999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,163620,1750.781,1660.893,47.00058,9.959993,1673.526,1648.241
150,25,KMeans,150,293,293,20957,6304.106,1347.608,2822.777,560.4,1964.677,628.3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,25,KMeans,200,406,406,29472,8985.453,1808.33,4349.101,832.0413,2615.222,822.8401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,25,KMeans,250,522,522,36435,10419.41,2316.314,4650.96,978.0002,3239.088,1121.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,25,KMeans,289,662,662,46563,12202.31,2872.538,5504.156,1274.4,3775.473,1334.701,4,40,40,215382,721.4125,633.5216,59.96064,21.54005,621.0222,601.2006,0,0,0,0,0,0,0,0,0,0,7,70,70,1124619,3650.783,3508.511,95.12102,42.44001,3485.247,3445.339
