,TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity,SuccessfulNoBottlenecks_AverageUniqueDroneEncounter,SuccessfulNoBottlenecks_AverageAvoidanceManeuvers,SuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,SuccessfulNoBottlenecks_PercentageTimeVerticalProximity,SuccessfulBottlenecks_AverageUniqueDroneEncounter,SuccessfulBottlenecks_AverageAvoidanceManeuvers,SuccessfulBottlenecks_PercentageTimeHorizontalProximity,SuccessfulBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulNoBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulNoBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulNoBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulBottlenecks_PercentageTimeVerticalProximity,SuccessfulNoBottlenecks_Percentage,SuccessfulBottlenecks_Percentage,UnsuccessfulNoBottlenecks_Percentage,UnsuccessfulBottlenecks_Percentage
0,100,20,KMeans,90,212,15097,5295.516,1504.019,1769.064,335.4199,1181.81,416.8399,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,90,1923166,5155.053,4791.583,195.8226,56.85995,4794.726,4728.615,2.3555555555555556,167.74444444444444,6.334036192129341,35.2713126475491,,,,,,,,,9.0,192316.6,1.1029944793972049,98.62117251329899,90.0,0.0,0.0,10.0
1,150,20,KMeans,149,370,25727,8850.172,2414.408,3139.865,628.7606,1953.296,737.2007,1,4,498,66.66083,26.56042,17.32021,4.679996,18.34023,9.340024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4832214765100673,172.66442953020135,7.1045014718358,37.74137150744178,4.0,498.0,7.020608654287683,50.92642785832021,,,,,,,,,99.33333333333333,0.6666666666666667,0.0,0.0
2,200,20,KMeans,197,560,39621,11876.95,3553.686,4062.199,952.8802,2598.523,1110.181,3,14,2150,218.2187,78.24122,72.58109,12.81999,64.1409,41.16037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8426395939086295,201.12182741116752,8.022936865104256,42.723539487624315,4.666666666666667,716.6666666666666,5.874835657988981,64.17179989678972,,,,,,,,,98.5,1.5,0.0,0.0
3,250,20,KMeans,239,703,51138,14761.21,4386.177,5088.492,1256.201,3174.588,1348.401,5,25,69105,613.4645,358.65,141.2423,16.35999,347.7501,298.4442,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,42,752557,3133.578,3001.299,76.0609,19.59999,2954.726,2930.272,2.9414225941422596,213.96652719665272,8.510149235733385,42.47483452970905,5.0,13821.0,2.666819351405012,85.82145626989038,,,,,7.0,125426.16666666667,0.625482754857227,99.1723767279944,95.6,2.0,0.0,2.4
4,300,20,KMeans,300,872,56839,18363.09,5035.759,6609.516,1680.102,3993.278,1605.101,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9066666666666667,189.46333333333334,9.149342512616341,40.1950728198738,,,,,,,,,,,,,100.0,0.0,0.0,0.0
5,100,25,KMeans,89,211,16808,5165.917,1550.26,1625.341,299.5401,1209.131,460.841,6,25,6861,455.6157,226.9641,122.0217,31.81998,171.5228,124.8617,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,16,315612,2778.576,2276.2,28.29999,16.57999,2669.104,2202.61,2.3707865168539324,188.85393258426967,5.798391650504644,38.113405412647595,4.166666666666667,1143.5,6.983951606584234,72.7959781440135,,,,,3.2,63122.4,0.596708169940286,82.52244948117422,89.0,6.0,0.0,5.0
6,150,25,KMeans,134,338,26336,7907.227,2351.91,2567.214,579.5207,1741.315,704.9005,2,16,53584,324.9158,271.2459,30.88033,15.56003,241.3871,230.9259,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,98,1975565,7348.4,6932.238,228.8428,71.55998,6891.412,6804.179,2.5223880597014925,196.53731343283582,7.329000419489665,40.48092964225312,8.0,26792.0,4.788942242882618,95.66621414317501,,,,,7.0,141111.7857142857,0.9738171574764575,98.73417813359583,89.33333333333333,1.3333333333333335,0.0,9.333333333333334
7,200,25,KMeans,185,516,37357,10854.45,3187.34,3427.566,836.7005,2501.543,971.7805,2,11,26597,253.2426,159.6129,44.38063,6.319995,149.7118,132.0712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,85,1803049,6970.726,6613.865,181.702,60.99998,6578.377,6493.903,2.789189189189189,201.92972972972973,7.708363850770882,38.847243481323325,5.5,13298.5,2.4956286975414086,88.21696085412106,,,,,6.538461538461538,138696.07692307694,0.875087903325995,98.71588387226818,92.5,1.0,0.0,6.5
8,250,25,KMeans,219,629,46370,13047.09,3997.632,4176.997,1010.52,2945.768,1250.842,9,116,596870,1780.355,1411.036,215.8232,42.64001,1321.975,1257.601,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22,411,3539839,8296.22,7703.119,366.5045,132.28,7547.022,7455.89,2.872146118721461,211.7351598173516,7.745175360942555,42.462339193038964,12.88888888888889,66318.88888888889,2.3950285195930023,95.13046767147641,,,,,18.681818181818183,160901.77272727274,1.5944610919189706,98.79247735066892,87.6,3.5999999999999996,0.0,8.799999999999999
9,300,25,KMeans,300,860,61842,17642.27,5361.185,6001.225,1486.621,3923.136,1679.221,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8666666666666667,206.14,8.42647233037472,42.80302798577465,,,,,,,,,,,,,100.0,0.0,0.0,0.0
